title,release_date,album,lyrics
Gracias A Dios,2022-04-8,,"8 ContributorsGracias A Dios Lyrics[Letra de ""Gracias A Dios"" ft. Lil Mosey]

[Intro: Natanael Cano & Lil Mosey]
Yeah
Nata, Nata
Ah, ah

[Coro: Natanael Cano]
Dime, ¿cómo estás?
Que yo ya no puedo ser el mismo que yo era antes
Ahora me siento más vacío porque hay mucho farsante (Jaja)
El dinero no cambia nada, solo visto elegante
Sigo siendo el mismo chamaquito que salió adelante (Wuh)
Con las mismas metas y sueños que de niño anhelaste (Yeah)
Ahora se me cumplieron gracias a Dios

[Verso 1: Natanael Cano]
Me quieren dejar, me quieren tumbar
Pero nunca me vo'a dеjar (Ah)
Y ahora traigo parque pa' tirar
Traigo charola de allá de Sonora
Andamos armados, biеn encapuchados
Sin miedo a lo que va a pasar
Un día me caigo, recuerden que yo solito me vuelvo a levantar
Ando con Lil Mosey, lo vamo' a atracar (Prr, prr)
Andamo' en Miami y la vamo' a explotar
Billetes azules nos gusta gastar
You might also like[Puente: Natanael Cano & Lil Mosey]
Se va a reventar
No va a parar
Es normal
Ah, ah, ah (Yeah, yeah, yeah)

[Coro: Natanael Cano]
Dime, ¿cómo estás?
Que yo ya no puedo ser el mismo que yo era antes (Hijo de puta)
Ahora me siento más vacío porque hay mucho farsante (Prr, prr)
El dinero no cambia nada, solo visto elegante
Sigo siendo el mismo chamaquito que salió adelante (Ah, ah)
Con las mismas metas y sueños que de niño anhelaste (Yeah, yeah, yeah)
Ahora se me cumplieron gracias a Dios (Mosey)

[Verso 2: Lil Mosey]
Niggas was hatin' when I was just broke
I turned five to a M, now I'm doin' the most (Cash)
They tryna ride the wave, but they cannot follow, I hope them lil' niggas can float (Uh-huh)
I ain't ever had shit, now I got three bad bitches doing backflips
I know how it feel to throw racks in my mansion
You know we don't play, got that bitch filled with ratchets (Wow, uh-uh)
I got my cup filled with lean (Lean)
Hope we don't crash, we're outside on the street (Skrrt, skrrt)
30K just for a flight next to me (Phew)
And that's 'cause of God
If it wasn't for him, nigga, where would I be?
VVS diamonds, a whole lotta cake
That's the Cartier wrist with a skeleton face
Nata just called me, he said we got problems
We pulled up with choppas and emptied the place (Blick, blick, blick)
Remember when I ain't had shit on my plate (Uh-huh)
I told all my peoples I'm never gon' change (Uh-huh)
I know what it is, I know what I do
I make it look easy (Oh yeah)
[Coro: Natanael Cano]
Dime, ¿cómo estás?
Que yo ya no puedo ser el mismo que yo era antes (Hijo de puta)
Ahora me siento más vacío porque hay mucho farsante (Prr, prr)
El dinero no cambia nada, solo visto elegante
Sigo siendo el mismo chamaquito que salió adelante (Ah, ah)
Con las mismas metas y sueños que de niño anhelaste (Yeah, yeah, yeah)
Ahora se me cumplieron gracias a Dios1Embed"
Un Suspiro al Viento,2019-10-31,,"4 ContributorsUn Suspiro al Viento LyricsUn suspiro al viento y un trago me doy
Por ser lo que soy hoy me va mejor
Si me doy mis gustos ahora soy mamón

Ya se le subió
Sin saber que show

Si no me conocen para que hablan mal
En vez de tirar
Pónganse a chambear
Me miran placoso y bien vestido hoy
Gucci en la ocasión para dar el rol

Bien presente siempre tengo a donde voy
La ciudad del sol de onde vengo yo

No ando reclamando
No ando haciendo panchos
Póngase el saco si le quedo

A poco pensaron que quedaría abajo
Se la pelaron
Salí cabrón

Sigan perdiendo el tiempo sigan hablando
Estoy generando un billetón
You might also likeAmistades ahora sobran de a montón
Miro su intención
Pues tonto no soy
Pa' no incomodarlos me despido yo
Con todo el clikon
Bien pendiente estoy1Embed"
Échele Un Ojo,2019-10-31,,"4 ContributorsÉchele Un Ojo Lyrics[Letra de ""Échele Un Ojo""]

Échele un ojo
Para que sepan lo que yo ando traficando
Varios dicen tiene finta de malandro
Pero lo que ellos no saben es que me mato chambeando

Una fajada
La traigo para proteger de mi vida
Así es en la mafia no existe salida
Si te enredas una vez
Así pasa día con día

Pero que buena feria te deja
Puedes darte muchos lujos el torsal ya me refleja
No le temo a los contrarios
A varios ya he tumbado y no he caído tras las rejas

Unas amistades que se alejan
Pero cuando ven billete no la piensan y se acercan
Yo se bien cuales son falsos
No lo digo pero noto cuando vienen del fracaso

Hay habladores
Los traigo siempre lamiéndome las botas
Un amigo se fue convirtiendo en flota
Que sorpresa del camino
La verdad si me tiene bien sorprendido
You might also likeCarro del año
Bien lujoso anda rondando por la H
En ocasiones elegancia porta el traje
Siempre anda bien distinguido
Y de la cima ya no hay nadie que lo baje

Pero que buena feria te deja
Y puedes darte muchos lujos el torsal ya me refleja
No le temo a los contrarios
A varios ya me he tumbado y no he caído tras las rejas

Unas amistades que se alejan
Pero cuando ven que hay sobra no la piensan y se acercan
Yo se bien cuales son falsos
No lo digo pero noto cuando vienen del fracasoEmbed"
10 Segundos,2020-09-9,,"2 Contributors10 Segundos Lyrics[Letra de ""10 Segundos""]

[Verso 1]
Quemándome un gallo veo mi vida en diez segundos
Lo bueno y lo malo se mira claro entre el humo
Estoy avanzando con mi gente y esto no se va a acabar
Cuando toca, toca, risueño prendiendo un churro
Y aquí no hay descanso, siempre ando tumbando duros
Para que respeten y sepan que nos vamos a dar notar

[Verso 2]
El tiempo se acaba, no te devuelven segundos
Ya gasté mis metas, ahora siguen nuevos rumbos
Todo queda claro, ya me hice rey de еste mundo
Y soy el mejor еn los corridos que ninguno

[Interludio]
Eah
Representando los corridos tumbados, viejones

[Verso 3]
Me comí todo un género entero en diez segundos
Les faltaba estilo, se los puse yo, ninguno
De los que me copian, se comparan, aquí nadie me va a quitar

[Verso 4]
Les faltó cabeza, ahora ya no suena ninguno
Los tiempos cambiaron, no, yo los cambié de rumbo
Pero eso no importa, mejor quédense en lo suyo
Vale más cantar que hablar, y escríbanme algo duroYou might also likeEmbed"
Cuando Se Requiere,2021-05-28,,"3 ContributorsCuando Se Requiere Lyrics[Letra de ""Cuando Se Requiere""]

[Intro]
Ey

[Verso 1]
Se acabaron hasta las ganas de pegarle al bong
Ya vienen tragos, ni sé a dónde voy
Con flow placoso, siempre malandrón
""Andamos recios"", es lo que siempre les digo
Si nos miran tumbados es porque andamos
Bien atrapados desde los catorce años
Y aquí sigo en el avión, nunca me bajo

[Coro]
Y no por eso he de rajarme
Aquí sigo firme, listo en la chamba, hay que darle
Un Rolex en la mano endiamantado que baile
Bien tranquilito tirando humito en el aire
Cuando se rеquiere
Me jalo un tanquе de nitro y mujeres
Son más las fiestas y no, no me esperen
Nos vamos recios, me voy, no sé ustedes

[Interludio Instrumental]
You might also like[Verso 2]
'Tamo nitro
Ando en el vuelo, ya se navegó
Seguimos recio', ninguno bajó
Ponle que siempre portaban tragos
Si nos miran tumbados es porque andamos
Bien atrapados desde los catorce años
Y aquí sigo en el avión, nunca me bajo
No se confundan, no hice ruido

[Coro]
Y no por eso he de rajarme
Aquí sigo firme, listo en la chamba, hay que darle
Un Rolex en la mano endiamantado que baile
Bien tranquilito tirando humito en el aire
Cuando se requiere
Me jalo un tanque de nitro y mujeres
Son más las fiestas y no, no me esperen
Nos vamos recios, me voy, no sé ustedes

[Outro Instrumental]Embed"
Traigo,2020-09-9,,"2 ContributorsTraigo Lyrics[Letra de ""Traigo""]

[Verso 1]
Traigo al diablo abajo, traigo al diablo adentro
Me gusta andar recio disfrutando de esto
¿Cuánto tiempo pasó? La mente me falla
La RT les pasa zumbando a las casas
Las once y me marcan, yo ocupando el China
No hablen sin la escala, no saben qué tranza

[Coro]
Y una chalopita de cristal
Los cuatro vidrios que se usan pa' olvidar
Y con la mente bien pilas pa' trabajar
Un rifle en la espalda pa' tirar
Dos, tres cartuchos que se usan pa' aliñar
A los contrarios que me quieran chamaquear

[Interludio]
Eah

[Verso 2]
Ya llegué a mi casa, yo ando bien pasado
Me puse bien chango y ando bien tumbado
Los rines cromados, de una 4-4
El 74 bien polarizado
You might also like[Coro]
Humito que es para relajar
La chompa bien duro le sabe alocar
No se confundan, no es lo mismo que el cristal
Un rifle en la espalda pa' tirar
Dos, tres cartuchos que se usan pa' aliñar
A los contrarios que me quieran chamaquearEmbed"
Periquito,2022-04-8,,"4 ContributorsPeriquito Lyrics[Letra de ""Periquito""]

[Coro]
Y un periquito me mantiene alivianado
Viene sin cortes, si no es fino no le jalo
La bolsa Gucci, siempre bien terciado
Off-White y Supreme, ando bien trameado

[Verso 1]
En el dos puertas todo el tiempo acelerado
Vengo sin prisa, pero siempre bien jalado
Adentro traigo una güerita a un lado
No me hace pancho ni me hace reclamo
Otra mañana y no me acuerdo lo que hice
Creo que еstuvimos de fiesta en varios paísеs
Bueno, no importa, solo una noche fuiste
""Nos vemos pronto"", y eso a todas les dije

[Refrán]
Ya ni sé pa' dónde voy, pero siempre tumbadón
Pa' qué les digo que no, si me gusta la acción
Doble vaso se acabó, la fiesta inicio me dio

[Interludio]
¡Eah!
Y puros corridos tumbados, viejones
You might also like[Verso 2]
No pega el sueño y ya siento que es de mañana
Aquí en la H se ven pasar las caravanas
Compa Carlitos, saque la lavada
Ya sea de fresa, coco o con banana
Si no me aporta, mejor ni pa' hacer relajo
Traigo una agenda que hasta ahora no ha terminado
Son los pendientes que se acumularon
No se preocupen, está controlado

[Coro]
Y un periquito me mantiene alivianado
Viene sin cortes, si no es fino no le jalo
La bolsa Gucci, siempre bien terciado
Off-White y Supreme, ando bien trameado

[Refrán]
Ya ni sé pa' dónde voy, pero siempre tumbadón
Pa' qué les digo que no, si me gusta la acción
Doble vaso se acabó, la fiesta inicio me dio

[Outro]
¡Eah!
Y puros corridos tumbados, viejonesEmbed"
Me Pongo Hot,2020-None-None,,"3 ContributorsMe Pongo Hot Lyrics[Letra de ""Me Pongo Hot""]

[Intro]
¿Cómo estás? Ven a verme
Yah

[Coro]
Me tira por el phone, quiere que vaya a su home
¿Cómo le digo no si me manda Snapchat y me pongo hot? (Eh)
Y me pongo hot (Eh)
Conmigo la pasa mejor, me pide y siempre le doy
La monto al Aventador
Comoquiera cuadramos los dos
La vuelta sola se acomodó
Como yo no hay dos

[Verso 1]
Me tira por el phone, quiere que vaya a su home
Y hacemo' la 92, la monto al Aventador
Nos vamo' recio', estamo' ready pa'l exceso
Botella' vacía de LV y parto eso
Contigo no la pasa al cien
Se aburrió y te volvió el ex
Ahora ya tiene con quien
Quitarse las gana' de hacer eso
'Tá muy duro, no hay exceso
Tú sabes cuál es el proceso
You might also like[Verso 2]
Me hice milloneta cantando
Tú hablando pero no tené' cartera (Prr)
Rompimo' la apuesta, logramo' la meta
Solo 1-8 y doblan pa' fuera
Gobierno me cuida adentro y afuera, no importa 'ónde sea
Tu jeva me manda un video tocándose, ahora a ti ya no te capea
El cuello bien frozen, traigo cien thousand
Tú no puedes estar acá
Botellas de Rosé, yo soy el chosen
Aquí yo soy el que manda

[Coro]
Me tira por el phone, quiere que vaya a su home
¿Cómo le digo no si me manda Snapchat y me pongo hot? (Eh)
Y me pongo hot (Eh)
Conmigo la pasa mejor, me pide y siempre le doy
La monto al Aventador
Comoquiera cuadramos los dos
La vuelta sola se acomodó
Como yo no hay dos

[Outro]
Nata
'Tamo ready pa'l exceso
Botella' vacía de LV y parto esoEmbed"
La Boca Mas Rica,,,"1 ContributorLa Boca Mas Rica Lyrics[Letra de ""La Boca Mas Rica""]

[Verso]
Y es la boca mas rica que he sentido
La piel de ángel y su voz con brillo
Niña pero sabe que conmigo se vuelve mujer, le doy motivos
No quiere trabajo ni dinero, nomas que les den lo que pidieron
Yo les doy lo que nunca tuvieron, obviamente hablo del dinero

[Coro]
No le gusta sentir cuando yo no estoy
Por eso sale y se olvida que tiene novio como: ""LA CANCIÓN""
Y no tiene algo claro todavía y esta puesta para lo que digan
Ropa cara viste y desvestía, me gustaba cuando la subía
Fino usa mas de ciento cincuenta, la cuarenta la deje en la mesa
Traigo prisa..., voy pal antro aqui a la  vueltaYou might also likeEmbed"
Traigo Ganas,2022-04-8,,"3 ContributorsTraigo Ganas Lyrics[Letra de ""Traigo Ganas""]

[Intro]
Hoy traigo ganas de me—
-terme otro pase y ver qué se siente
Andar volando, disfruto lo malo
Ya saben

[Verso 1]
Con su gente se les ve
Allá por su tierra donde se mueven
Traen buen corrido, la banda está en vivo
Algo bien
Jefe, dice que la plaza no se cuida sola
Para eso traigo pistola
Preparado pa' la acción
No se preocupen, plebes, que cargan buen equipo
Aquí rifo y yo les brinco
Misma sangre dеl señor
¡Ea!

[Puente Instrumental]

[Verso 2]
Y el trabajo se lе da
Se le otorgó el puesto, lo saben cuidar
Las conexiones se siguen subiendo
No paran
Me despido, papis, ya saben que estoy al tiro
Aquí tienen a un amigo si se ocupa festejar
Celebrando nos despedimos, seguimos vivos
Gracias a Dios hay motivos para salir a jalar
You might also like[Outro Instrumental]Embed"
Con un Porte Fino,2019-06-21,,"3 ContributorsCon un Porte Fino LyricsCon un porte fino en las calles donde crecí
Quien diría que algún día yo iba a estar aquí
Sentado frente esa gente que no creía en mi
Ahora todos es diferente ya sobresalí
Se murmura que este morro nada iba a lograr
Que en la calle es el único lugar donde va
Un callejón sin salida, yano podía mas
Pero les tape el hocico y ahora hablan de más
No porque tenga tropiezos ahí se va a quedar
Buen cerebro e inteligencia para prosperar
Con el tiempo fui avanzando
Hacia um mejor lugar
Todaviá no me encuentro donde quiero estar

Ya les tapé el hocico más de una vez
Y aunque les tires piedras van a morder
Si ven que voy en putiza por el freeway
Es porque ando bien

Hoy solo siento reír
No tengo motivo
Alguno por el cual no estar feliz
Con los lentes Gucci en la mirada
Y un traje elegante pa' vestir

Hoy ya no quiero parar
Ya retomé mi camino
Y las envidias para atrás
Hay iniciales de aquel hombre
De que la gente fue a hablar
You might also likeSe murmura que este morro nada iba a lograr
Que en la calle es el único lugar donde va
Un callejón sin salida, yano podía mas
Pero les tape el hocico y ahora hablan de más
Batallando desde niño y no me fui pa' atrás
La bendicíon de una madre nada va a cambiar
El mayor de los hermanos todo va a lograr
Y este barco con esfuerzo se va a levantar
Mi San Judas me protege y es mi porvenir
California es el estado y hoy estoy aquí
Generando de los verdes pa' vivir feliz
Con la familia en la mente
Y siempre ha sido así

Ya les tapé el hocico más de una vez
Y aunque les tires piedras van a morder
Si ven que voy en putiza por el freeway
Es porque ando bien

Hoy solo siento reír
No tengo motivo
Alguno por el cual no estar feliz
Con los lentes Gucci en la mirada
Y un traje elegante pa' vestir

Hoy ya no quiero parar
Ya retomé mi camino
Y las envidias para atrás
Hay iniciales de aquel hombre
De que la gente fue a hablar1Embed"
El De Los Lentes Gucci,2018-07-10,,"4 ContributorsEl De Los Lentes Gucci Lyrics[Letra de ""El De Los Lentes Gucci""]

Con un vuelo impresionante voy pa' arriba
Y sin medida, los billetes por la puerta veo llegar
No soy ningún traficante, simplemente me he esforzado
Para en esta vida llegar a triunfar

De mi padre los consejos, a mi madree como quiero
Ella de niño me supo muy bien cuidar
Mi protector va primero, mi San Judas que me cuida
Con San José, yo salgo a ruletear

La vida si está pelada
Pero cuando le echas ganas
El camino y la mañas
Vas a encontrar

Van a hablar, cierren la boca para tragar
Les callo el hocico a los que no dan de que hablar
Sin parar, deportivo en la calle verán
El de los lentes Gucci a toda velocidad

Y se va hasta California
Puro Five Music

Desde abajo para arriba, lo que tengo son frutos
Que de morro yo mismo los coseché
No soy gente de fulano, no se enreden con tonteras
Lo que tengo con mi sudor lo logré
You might also likeLa humildad es pieza clave
Dar la mano al que lo ocupe
Con dinero o sin dinero
Lo se bien

Contando lo que he vivido sin echarle tierra a nadie
Si el chaleco le queda, pues allá usted
Mira bien tus amistades, los corrientes se disfrazan
Como amigos, para verte a ti caer

Ayudar, con mi hermano evacuar, alivianar
Salir adelante, las metas poder lograr
He de andar, bien vestido con clase mind back
En el 86, rumbo para RiversideEmbed"
El Jr.​,2020-02-28,,"3 ContributorsEl Jr.​ Lyrics[Letra de ""El Jr.""]

[Verso 1]
Me les presento, yo soy René
O por ""El Júnior"" me conocen bien
Soy nacido allá en LA, y en Mocorito, allá me crié
Y esa es la herencia de mis padres, les tengo un cariño inigualable

[Pre-Estribillo]
Mi madre es mi adoración
Mi familia lo más valioso
Y en Sinaloa me han de mirar
Allá me voy a vacacionar

[Estribillo]
Me gusta darme mis escapones
La música y cerveza son buenas combinaciones

[Pos-Estribillo]
La bandona me gusta escuchar
Para ponerme a bailar
Con una hermosa dama
Pocas como ella, ¡ea!

[Puente Instrumental]
You might also like[Verso 2]
Carros y aviones son mi pasión
Soy fanático del beisbol
Los Tomateros, y a Dodger' le voy
La paso agusto con mis homeboy'
Y ni se diga con mis primos
Varias hazañas juntos hicimos

[Pre-Estribillo]
Mi madre es mi adoración
Mi familia lo más valioso
Y en Sinaloa me han de mirar
Allá me voy a vacacionar

[Estribillo]
Me gusta darme mis escapones
La música y cerveza son buenas combinaciones

[Pos-Estribillo]
La bandona me gusta escuchar
Para ponerme a bailar
Con una hermosa dama
Pocas como ellaEmbed"
Cholos Malandros,2019-10-31,,"3 ContributorsCholos Malandros LyricsQue somos cholos, malandros
No se enreden, somos puros empresarios
Sigue creciendo, la mata dando

El negocio, poco a poco, fue dejando

Billetes verdes son los que llueven
Cuando hacemos el trabajo y los quehaceres
Carros muy caros, diamantes
Casas de lujo y chamarras elegantes

Gusto nos damos, pa' eso chambeamos
No por nada nos llaman los empresarios

Y así suena
Su compa' Nata' con La Nueva Era, viejones
¡Ay, ay, ay!

Tres vatos locos los que empezamos
Y aquí seguimos dando música al barrio
De abajo salimos, nos superamos
Pero, les cala que andemos vateando

Cupcake quemamos, mota de a diario
Las botellas más finas, las destapamos
Somos gente humilde y aunque critiquen
Nos importa un bledo todo lo que dicen
You might also likeAndamos bien firmes para lo que sigue
Saludos y aquí la clika se despide2Embed"
Waxesito,2020-04-17,,"3 ContributorsWaxesito Lyrics[Letra de ""Waxesito""]

[Verso 1]
Con la bonga por un lado y un waxesito
Para andar alterado o calmado
Con un gallo me relajo en la playa
O en la chamba kushareando me la paso
Pelos rojos o morados con un RAW bien enrollado
Paniqueado y volando

[Coro]
Lo mejor de todo esto
El mal viaje que te pegan los hermanos, yo lo extraño
Y si ven mis ojos rojos no se asusten, pues de mí no tengan miedo
Y si me miran contento es que tiro humito al viento

[Interludio]
¡Ea!

[Verso 2]
Unas rolas para el viaje, el Alemán que nunca falte
Y una dama pa' bailarla
Con mis homies en la casa quemando cajeta blanca
Y si se pasan se alivianan
Pelos rojos o morados con un RAW bien enrollado
Paniqueado y volando
You might also like[Coro]
Lo mejor de todo esto
El mal viaje que te pegan los hermanos, yo lo extraño
Y si ven mis ojos rojos no se asusten, pues de mí no tengan miedo
Y si me miran contento, es que tiro humito al cieloEmbed"
Low,2020-09-9,,"3 ContributorsLow Lyrics[Letra de ""Low""]

[Verso 1]
Ven saltar un Impala con las altas
El suelo va quemando lisa las llantas
Qué bonito ven llegar, con el fierro al cinto
Los miran alucinar, crucen con el H
Lowrider va a ruletear al estilo de antes

[Interludio]
Lowrider, G
¡Eah!

[Verso 2]
Y aquí estoy
Pendiente al tiro pa' la situación
Y en California es donde radico
Y por mi gente donde estoy
Trabajando duro sobresalió y salió el sol
Tengo los dos Impalas bien tumbados en la casa
También cuatro morras que siempre textean, me dice: ""¿Qué pasa?""
Ya le digo que ando bien bolla'o
Quе no puedo hablar, que ando bien droga'o
Y haztе pa'l la'o, yeah-yeah

[Verso 3]
No me asusto, no me espanto
Las calles fueron atajos para superarme en esta vida
Zapatos de marca, ropa la más cara
Con el drip más perro me mantengo
You might also like[Outro]
¡Eah!Embed"
Personal*,,,"2 ContributorsPersonal* Lyrics[Letra de ""Personal'""]

[Verso]
Seguimos chambeando recio
Pues pa' lo chueco salí cabrón
Y andando entre la lumbre, lo que me gusta y apasionó
Las mujeres mas bellas le verán
Portando muy buenos rifles y varias escoltas personal
Las vueltas que da la vida, y antes no había y ahora hay de mas
Y ando testo de billetes, pues ya sabrán
Los verdes te traen mas verdes, normalYou might also likeEmbed"
Por Ti,2022-None-None,,"5 ContributorsPor Ti Lyrics[Letra de ""Por Ti"" ft Maluma]

[Intro: Maluma & Natanael Cano]
Ya deja de regar el cuento que no paro 'e llorar por ti, no-oh
Está cabrón que te miren como un pendejo y se rían de ti
Era evidente que tenías un propósito
No fui tan malo, ni siquiera cerca a tóxico
Creo que tenías un negocio con el cantinero
Porque me estoy gastando todo mi dinero

[Estribillo: Natanael Cano & Maluma]
Por más dolido que yo esté
Esta herida con alcohol no se me quita
Qué borrachera tan bonita
Sabía que esto se venía-nía (Nata)
Mi cuerpo dicе que ya deje dе tomar, pero mi mente necesita
Otra botella de tequila, otro poquito y ya te olvida, vida, yeah

[Verso 1: Natanael Cano]
Me siento forever alone
Cada que yo te marco me manda a buzón
Cada que no te tengo me pongo loco
Baby, dime si estás conmigo o no
Porque yo sí estoy contigo
Perdón, si soy conocido
Me gusta el desmadre, las fiestas, las morras
Tomar tequila con la clicka y siempre andar al pinche cien
¿Y cómo olvidarte? Si todo lo que hice yo lo hice contigo
¿Y cómo te explico que yo hasta dormido te miro?
Ey, me tienes bien ido
Sabes que si no es contigo con nadie quiero estar
You might also like[Estribillo: Maluma & Natanael Cano]
Por más dolido que yo esté
Esta herida con alcohol no se me quita
Qué borrachera tan bonita
Sabía que esto se venía-nía, eh
Mi cuerpo dice que ya deje de tomar, pero mi mente necesita
Otra botella de tequila, otro poquito y ya te olvida, vida, ah-ah

[Verso 2: Maluma]
Me siento de la chingada
Esto no lo esperaba, que ibas a hablar así
De alguien que a ti te amaba, si pa' mí fuiste reina
Lo fuiste y ya no eres nada, no viste mis sentimiento'
Pero me viste la cara, yeah
A tu casa de seguro ya no vuelvo
La suegra se perdió de un niño bueno-oh
Ya ni modo de antojarme de lo ajeno
Si antes no dejaba de tomar ahora menos

[Estribillo: Natanael Cano & Maluma]
Por más dolido que yo esté
Esta herida con alcohol no se me quita
Qué borrachera tan bonita
Sabía que esto se venía-nía (Nata)
Mi cuerpo dice que ya deje de tomar, pero mi mente necesita
Otra botella de tequila, otro poquito y ya te olvida, vida, yeah
[Outro: Maluma & Natanael Cano]
Jajaja
Alright, alright
Maluma, baby
Nata
Dímelo, Edge
Sky Rompiendo
Algo diferente, ahí pa' que lo cantenEmbed"
El Trono,2020-12-18,,"4 ContributorsEl Trono Lyrics[Letra de ""El Trono""]

[Verso 1]
Solo pienso entre mi almohada
Y me pierdo entre la fama
¿Cómo le hago para poder superar?
Me fumo uno en la mañana
Para ponerme las alas
Después ya no dejo de rimar

[Coro]
Y no sé porque no cambiaban
Los tiempos ya no me hablan
Pero nunca les voy a fallar
No me importa lo que hablan
No estoy en lo que ellos hagan
Por eso no me van a tumbar

[Verso 2]
Y ya no vengo de pensar
Como poder conquistar
El planeta tierra, to' este lugar
Hace tiempo no perdono
Porque yo nunca traiciono
Ahora que me doy cuenta
Yo soy el dueño del trono
You might also like[Pre-Coro]
Si te sientes mal solo respira
Nada es tan malo como se imaginan
Lo más importante siempre es la familia
Y el abrazo a tu madre cada que te caes de rodillas

[Puente]
(Hace tiempo no perdono)
(Porque nunca traiciono)
(Sigo loco, no mejoro)
(Ahora que me doy cuenta
Yo soy el dueño del trono)
Hace tiempo no perdono
Porque yo nunca traiciono
Sigo loco, no mejoro
Ahora que me doy cuenta
Yo soy el dueño del trono

[Coro]
Y no sé porque no cambiaban
Los tiempos ya no me hablan
Pero nunca les voy a fallar
No me importa lo que hablan
No estoy en lo que ellos hagan
Por eso no me van a tumbar
[Outro]
Uh, su compa Natanael Cano, viejones
Yampi, Kronix Magical
Dímelo Krizous
Arriba la bandera
Claro que síEmbed"
Quién Va A Caer,2022-04-8,,"4 ContributorsQuién Va A Caer Lyrics[Letra de ""Quién Va A Caer"" ft. Tyan G]

[Coro: Tyan G & Natanael Cano]
Ya me acostumbré a vivir así
El día a día puede tener fin
Le pido a mi madre que rece por mí
Y es que no sé quién va a caer
Puedo ser yo, puede ser él
Y es que no sé quién va a caer
Puedes ser tú o también él
Ya me acostumbré a vivir así
El día a día puede tener fin
Yo sigo en lo mismo, yo siempre he sido así
Le pido a mi madre que rece por mí

[Verso 1: Natanael Cano]
Mirándome al espejo fue que yo decidí
A pulso y esfuerzo me maté para llegar hasta aquí
De donde vengo en esto a tener más de cien mil
En joyas que brillan más en relucir
Y es que ninguno le pone como yo le pongo, por eso es que yo soy así

[Verso 2: Tyan G]
Tengo muchos panas que se me han vira'o
El que está en el cielo ya no está a mi la'o
Por eso hoy en día vivo desconfia'o
Me fijo en las personas que están a mi la'o
Yo sigo tumba'o, sigo corona'o, me ven con los ojos rojos
Me quieren ver mal porque saben que lo que tengo es oro
You might also like[Puente: Tyan G & Natanael Cano]
Prendo mirando hacia el cielo
Que me cuide de lo feo
Tengo un ángel en el cielo
Que da la vida por mí
Prendo mirando a estos pendejos
Quieren todo lo que tenemos
Pero se van quedar queriendo
Yo nunca me voy a morir

[Coro: Natanael Cano & Tyan G]
Y es que no sé quién va a caer
Puedo ser yo, puede ser él
Y es que no sé quién va a caer
Puedes ser tú o también él
Y es que no sé quién va a caer
Puedo ser yo, puede ser él
Y es que no sé quién va a caer
Puedes ser tú o también él
Ya me acostumbré a vivir así
El día a día puede tener fin
Yo sigo en lo mismo, yo siempre he sido así
Le pido a mi madre que rece por mí

[Outro: Natanael Cano & Tyan G]
Ah, jaja
Nata
Ey
Medallo y México, jaja
Y puros corridos tumbados
Y puro tumba'oEmbed"
Arriba (Versión Videoclip),2020-05-5,,"3 ContributorsArriba (Versión Videoclip) Lyrics[Letra de ""Arriba (Versión Videoclip)""]

[Parte I: Arriba]

[Intro]
Que nos fuimos de casa persiguiendo un sueño cuando nadie nos miraba tan arriba
Tenemos los sueños y metas que nadie en el mundo vería
Porque somos así, porque nos tocó esto a nosotros vivir
Porque nacimos así, simplemente vivimos la vida, yo soy feliz
​
[Verso 1]
Vale verga lo que digan, yo siempre ando arriba
Cannabis Sativa, la que me domina
La que traigo encima, la que me tumba
La que me pone siempre bien arriba
El tiempo que pasa lo quemo en la mente
Pensando en cosas que te haría
Yo a ti te comía si tú fueras mía
Pero no importa, no te merecías
Dime, ¿tú qué vas a hacer?
Si mañana vas a querer volver
Tú bien lo sabes que yo no estoy bien
Ni para cuentos, el tiempo perder
Recuerda, yo siempre ando arriba
Chambeando de noche y de día
Con toda la clica me miran
Festejando con botellas y con niñas
​
[Refrán]
Ya dime si quieres estar conmigo o si mejor me voy (Ah, ah)
Tus besos dicen que tú sí me quieres pero tus palabras no
​
[Puente]
Que nos fuimos de casa persiguiendo un sueño cuando nadie nos miraba tan arriba
Tenemos los sueños y metas que nadie en el mundo vería
Porque somos así, porque nos tocó esto a nosotros vivir
Porque nacimos así, simplemente vivimos la vida, yo soy feliz
​
[Interludio]
Y esta no es la misma historia de siempre, ¿sabes?
¡Nata!
Y aquí somos Rancho Humilde, viejones
Ah, ah, ah, jajaja
Dímelo, Krizous
​
[Parte II: Gracias]
You might also like[Estribillo]
Mano arriba a to'a mi gente
Ahora todo se ve diferente
Desde que estás
Me miran bailando de repente
Cantando y gritando con ambiente
Desde que estás
​
[Verso 2]
Prende, prende, prende el vuelo
Mirando humito en el cielo
Tirando las penas al viento
Prende, prende, prende el cerro
Tomando codeína con la clica
No lo vi venir
El tiempo se ha agotado y se puso sólo pa' mí
La esperanza que tenía la dejé vivir
​
[Estribillo]
Mano arriba a to'a mi gente
Ahora todo se ve diferente
Desde que estás
Me miran bailando de repente
Cantando y gritando con ambiente
Desde que estásEmbed"
Infierno*,,,"1 ContributorInfierno* Lyrics[Letra de ""Infierno"" ft. Calle 24, Fuerza Regida & Gabito Ballesteros]

[Adelanto]

[Coro: Gabito Ballesteros, Natanael Cano & Fuerza Regida]
Aquí andamos recio, ya no nos importa nada
Parece un infierno, un día las calles arden
Y hasta que me tomen seguiré mandando jale
Y todos mis respe...You might also likeEmbed"
